raw_author_name	normalized_last	normalized_first	first_initial	normalized_middle	middle_initials	population_freq	log10_freq	est_humans
Raoof Memon Aamir	aamir	raoof	r	memon	m	0.000000000000000	-15.93	0.0000
kelly M. Lohr	lohr	kelly	k		m	0.000000000090056	-10.05	0.7295
Sadi  Md. Shahriar	shahriar	sadi	s		md	0.000000000002270	-11.64	0.0184
Al Fayed, Muhammad Gilang	al fayed	muhammad	m	gilang	g	0.000000000000002	-14.61	0.0000
L Morimoto	morimoto		l			0.000000054162045	-7.27	438.7126
GÜZELKÜÇÜK, SELAHATTİN	selahattin	guzelkucuk	g			0.000000000001000	-12.00	0.0081
Sahara, Sahara; Minot, Nicholas; Stringer, Randy; Umberger, Wendy J.	sahara	sahara	s	minot	m	0.000000000000000	-16.02	0.0000
Suarez-Hernando, O.	suarez-hernando		o			0.000000011068470	-7.96	89.6546
Турсунов Бобирбек Ғофуржон ўғли	ugli	tursunov	t	bobirbek gofurzhon	b	0.000000000000000	-18.00	0.0000
Tobias M. Schmidt (16455423)	schmidt	tobias	t		m	0.000000001364100	-8.87	11.0492
Thandoni, Aditya	thandoni	aditya	a			0.000000000872402	-9.06	7.0665
Davison, Halley N	davison	halley	h		n	0.000000000001904	-11.72	0.0154
Ginno Andrés Urrutia Olate	olate	ginno	g	andres urrutia	a	0.000000000000000	-18.00	0.0000
Philip Metschan	metschan	philip	p			0.000000000222971	-9.65	1.8061
Heras González, Nerea	heras gonzalez	nerea	n			0.000000000019772	-10.70	0.1602
Pratibha Shivalgond Dharmarao	dharmarao	pratibha	p	shivalgond	s	0.000000000000000	-16.52	0.0000
Kaste, P	kaste		p			0.000000028997808	-7.54	234.8822
Langkau, Jörg	langkau	jorg	j			0.000000000038597	-10.41	0.3126
渋沢栄	shibui	ze rong	z			0.000000000001000	-12.00	0.0081
Yurisa Ayudhira Putri, -	yurisa ayudhira putri		-			0.000000000001000	-12.00	0.0081
Richard S. Floyd	floyd	richard	r		s	0.000000001433592	-8.84	11.6121
Crystal Rage	rage	crystal	c			0.000000000662722	-9.18	5.3681
Elitaş Sandık, Sümeyye	elitas sandik	sumeyye	s			0.000000000015093	-10.82	0.1223
Correa, Grace	correa	grace	g			0.000000043070688	-7.37	348.8726
Suwanpukdee, S	suwanpukdee		s			0.000000077489340	-7.11	627.6637
Phromsida, Chumphot	phromsida	chumphot	c			0.000000000001000	-12.00	0.0081
Hernandez Ortiz, Lizeth Paola	hernandez ortiz	lizeth	l	paola	p	0.000000000000007	-14.18	0.0001
(清)黃鉞撰	huang yue zhuan					0.000001000000000	-6.00	8100.0000
Ana R Gaio	gaio	ana	a		r	0.000000000053458	-10.27	0.4330
Zhong Chen, (14001781)	chen	zhong	z			0.000001159146843	-5.94	9389.0894
Turan, Merve G.	turan	merve	m		g	0.000000000104885	-9.98	0.8496
Kathleen E Bickel	bickel	kathleen	k		e	0.000000000004661	-11.33	0.0378
Stephan Weth	weth	stephan	s			0.000000000085187	-10.07	0.6900
F. Cristea	cristea		f			0.000000140987543	-6.85	1141.9991
Parth Laxman Mhatre	mhatre	parth	p	laxman	l	0.000000000000673	-12.17	0.0055
J.-Y. Juban	juban	j-y	j			0.000000000001000	-12.00	0.0081
Eileen M. Ama	ama	eileen	e		m	0.000000000058014	-10.24	0.4699
James A. Morrell	morrell	james	j		a	0.000000000473162	-9.32	3.8326
Satsyuk Ivan	ivan	satsyuk	s			0.000000000060246	-10.22	0.4880
Christian B Hochhalter	hochhalter	christian	c		b	0.000000000030088	-10.52	0.2437
Vásquez Estrada	estrada	vasquez	v			0.000000000119396	-9.92	0.9671
Isaac-Millán, Melissa	isaac-millan	melissa	m			0.000000000342647	-9.47	2.7754
陶晓波	tao	xiao bo	x			0.000000000403554	-9.39	3.2688
Brylowski, Anna	brylowski	anna	a			0.000000000900509	-9.05	7.2941
Mario Cottereau	cottereau	mario	m			0.000000000534205	-9.27	4.3271
Begoña de Andrés‐Gimeno	de andres-gimeno	begona	b			0.000000000010315	-10.99	0.0836
Zeng, Q.B.;	zeng	qb	q			0.000000000005722	-11.24	0.0464
Berdiyarov Ulmasbek	ulmasbek	berdiyarov	b			0.000000000001000	-12.00	0.0081
HA Koteiche	koteiche	ha	h			0.000000000155536	-9.81	1.2598
L. Cordón	cordon		l			0.000000342429069	-6.47	2773.6755
Mol-Alma, Harma J.	mol-alma	harma	h		j	0.000000000000094	-13.03	0.0008
DANIEL  REBETEZ	rebetez	daniel	d			0.000000002323858	-8.63	18.8233
Rastelli, Jessica	rastelli	jessica	j			0.000000000913589	-9.04	7.4001
Ejército Popular de la República. 153 Brigada Mixta (España)	de la republica brigada mixta	ejercito	e	popular	p	0.000000000000000	-17.10	0.0000
Loyd C. Mitchell	mitchell	loyd	l		c	0.000000000037825	-10.42	0.3064
E. Maragliano	maragliano		e			0.000000033222746	-7.48	269.1042
Sandra Stringfellow	stringfellow	sandra	s			0.000000000623460	-9.21	5.0500
Agazzi, Pamela	agazzi	pamela	p			0.000000000199538	-9.70	1.6163
Gonera-de Jong Bc	bc	gonera-de	g	jong	j	0.000000000000000	-16.99	0.0000
Sail, Genevieve Duriaux	sail	genevieve	g	duriaux	d	0.000000000000000	-15.82	0.0000
Anja Gatterbauer	gatterbauer	anja	a			0.000000000162192	-9.79	1.3138
Irene Gspörer	gsporer	irene	i			0.000000000209734	-9.68	1.6988
Garnero P	p	garnero	g			0.000000000001000	-12.00	0.0081
None Methinee Rarunroeng	rarunroeng	none	n	methinee	m	0.000000000000000	-17.52	0.0000
Agnieszka Fil	fil	agnieszka	a			0.000000000167016	-9.78	1.3528
Clément Comminges (4457818)	comminges	clement	c			0.000000000115899	-9.94	0.9388
None Ahmad Manasrah	manasrah	none	n	ahmad	a	0.000000000000004	-14.45	0.0000
Emily A. Eikey (8452800)	eikey	emily	e		a	0.000000000035892	-10.45	0.2907
Bishay MN	mn	bishay	b			0.000000000001000	-12.00	0.0081
Sheida Rabipour	rabipour	sheida	s			0.000000000001397	-11.85	0.0113
