work_id,label,scope,confidence,reason
W2794734225,include,coastal,high,Hakai/Tula affil; Calvert Island coastal archaeology
W2077382215,include,coastal,high,Hakai Beach Institute affil; BC central coast wildlife
W2403896480,include,coastal,high,Hakai/Tula affil; BC marine-coastal ecology
W2510337539,include,coastal,high,Hakai Calvert Island affil; intertidal coastal study
W2795252114,include,coastal,high,Hakai affil; BC coastal conservation science
W4323811122,include,coastal,high,Hakai Calvert affil; marine intertidal heatwave
W2551089441,include,coastal,high,Hakai Calvert affil; BC ecological disturbance study
W3012060532,include,coastal,high,Hakai/Tula affil; BC marine island biogeography
W2625281702,include,coastal,high,Hakai/Tula affil; BC marine virus study
W2904061783,include,coastal,high,Hakai Tula affil; BC coastal rainforest soil
W3117780117,include,coastal,high,Hakai/Tula affil; marine microbiome study
W2748757771,include,coastal,high,Hakai Tula affil; Calvert coastal watershed DOC
W2916389325,include,coastal,high,Hakai/Tula affil; Quadra Island mariculture
W3083295052,include,coastal,high,Hakai/Tula affil; BC fjord carbonate marine study
W2990146557,include,coastal,high,Hakai/Tula affil; BC island marine nutrients
W4298141685,include,coastal,high,Hakai/Tula affil; marine invertebrate microbiome
W2475381757,include,coastal,high,Hakai Calvert affil; BC coastal rainforest fire history
W2887307500,include,coastal,high,Hakai/Tula affil; oceanographic pH sensor
W2819483672,include,coastal,high,Hakai/Tula affil; BC rockfish marine protection
W3105476587,include,coastal,high,Hakai Calvert affil; estuary fish nursery
W4390237363,include,coastal,high,Hakai affil; kelp/urchin marine settlement
W4392651679,include,coastal,high,Hakai/Tula affil; Pacific oyster microbiome
W4321781533,include,coastal,high,Hakai/Tula affil; eelgrass wasting disease
W4385807863,include,coastal,high,Hakai/Tula affil; coral marine ecosystem study
W4412197737,include,coastal,high,Hakai/Tula affil; salmon ocean acidification
W2586975866,include,coastal,high,Hakai/Tula affil; clam garden coastal archaeology
W2801023911,include,coastal,high,Hakai/Tula affil; beach foredune coastal earth science
W2618659777,include,coastal,high,Hakai Calvert affil; BC coastal glacial geology
W2800726963,include,coastal,high,Hakai Calvert affil; coastal rainforest fire legacy
W2079106314,include,coastal,high,Hakai/Tula Calvert affil; coastal dune chronology
W2990457100,include,coastal,high,"Hakai/Tula affil; species recovery, marine-coastal"
W2579255425,include,coastal,high,Hakai Tula affil; Calvert coastal watershed DOC
W3213113840,include,coastal,high,Hakai affil; BC coastal fisheries archaeology
W4404057988,include,coastal,medium,"Hakai/Tula affil; rainfall review, coastal-tied program"
W3044571385,include,coastal,high,Hakai affil; Calvert Island coastal dune soils
