primary_topic,works
Marine and coastal plant biology,119
Protist diversity and phylogeny,95
Marine and fisheries research,63
Marine and coastal ecosystems,56
Fish Ecology and Management Studies,52
Ocean Acidification Effects and Responses,51
Cryospheric studies and observations,48
Microbial Community Ecology and Physiology,41
Environmental DNA in Biodiversity Studies,39
Isotope Analysis in Ecology,35
Geology and Paleoclimatology Research,33
Marine Biology and Ecology Research,30
Bacteriophages and microbial interactions,28
Marine animal studies overview,27
Wildlife Ecology and Conservation,23
