venue,works
Open MIND,77
Zenodo (CERN European Organization for Nuclear Research),66
Hakai Institute,49
bioRxiv (Cold Spring Harbor Laboratory),41
PLoS ONE,41
Frontiers in Marine Science,28
Summit (Simon Fraser University),26
Journal of Eukaryotic Microbiology,24
The ISME Journal,24
Scientific Reports,21
Proceedings of the National Academy of Sciences,18
Technical Report,17
Marine Ecology Progress Series,16
Ecology and Evolution,15
Ecosphere,15
Geophysical Research Letters,13
FACETS,13
Proceedings of the Royal Society B Biological Sciences,13
Frontiers in Microbiology,13
Philosophical Transactions of the Royal Society B Biological Sciences,12
