work_id,title,year,venue,cited_by_count,fwci,is_top_1pct
W2766358903,A communal catalogue reveals Earth’s multiscale microbial diversity,2017.0,Nature,2879,186.6015,True
W2948574679,Human Consumption of Microplastics,2019.0,Environmental Science & Technology,2549,53.979,True
W3093432062,Global Carbon Budget 2020,2020.0,Earth system science data,2527,189.9901,True
W2166123725,Insights into the phylogeny and coding potential of microbial dark matter,2013.0,Nature,2436,89.1582,True
W4308697725,Global Carbon Budget 2022,2022.0,Earth system science data,1796,185.0221,True
W4225004802,Global Carbon Budget 2021,2022.0,Earth system science data,1611,172.0003,True
W2055758623,Horizontal gene transfer in eukaryotic evolution,2008.0,Nature Reviews Genetics,1358,27.9357,True
W4389195056,Global Carbon Budget 2023,2023.0,Earth system science data,1329,199.2134,True
W1984156791,Rethinking the marine carbon cycle: Factoring in the multifarious lifestyles of microbes,2015.0,Science,962,53.1882,True
W2554163354,Global patterns of kelp forest change over the past half-century,2016.0,Proceedings of the National Academy of Sciences,759,48.5342,True
W2119266425,"The endosymbiotic origin, diversification and fate of plastids",2010.0,Philosophical Transactions of the Royal Society B Biological Sciences,724,21.641,True
W2395026888,A multi-decade record of high-quality <i>f</i> CO <sub>2</sub> data in version 3 of the Surface Ocean CO <sub>2</sub> Atlas (SOCAT),2016.0,Earth system science data,713,1852.3894,True
W4313555558,Global glacier change in the 21st century: Every increase in temperature matters,2023.0,Science,622,123.6719,True
W2138465606,Microbial ecology of expanding oxygen minimum zones,2012.0,Nature Reviews Microbiology,587,29.8556,True
W2345545404,Biodiversity and ecosystem services in forest ecosystems: a research agenda for applied forest ecology,2016.0,Journal of Applied Ecology,562,19.8054,True
W2169899471,Viral dark matter and virus–host interactions resolved from publicly available microbial genomes,2015.0,eLife,516,42.2377,True
W4408460092,Global Carbon Budget 2024,2025.0,Earth system science data,491,404.3747,True
W4384119474,Limnology and Oceanography,2016.0,Limnology and Oceanography,471,,False
W1752270159,The unique ecology of human predators,2015.0,Science,435,23.8309,True
W2170074068,The Eukaryotic Tree of Life from a Global Phylogenomic Perspective,2014.0,Cold Spring Harbor Perspectives in Biology,362,,False
