,UBC_SFU,UBC_UVic,UBC_UNBC,UBC_VIU,SFU_UVic,SFU_UNBC,SFU_VIU,UVic_UNBC,UVic_VIU,UNBC_VIU,any_BC,links,intensity
1994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,1.0,0.02127659574468085
1995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,1.0,0.02040816326530612
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0
1997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45,2.0,0.044444444444444446
1998,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57,3.0,0.05263157894736842
1999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,2.0,0.02631578947368421
2000,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,3.0,0.046875
2001,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,78,5.0,0.0641025641025641
2002,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89,3.0,0.033707865168539325
2003,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87,9.0,0.10344827586206896
2004,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,6.0,0.07058823529411765
2005,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,114,11.0,0.09649122807017543
2006,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,136,9.0,0.0661764705882353
2007,2.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,139,10.0,0.07194244604316546
2008,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,150,11.0,0.07333333333333333
2009,10.0,7.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,183,23.0,0.12568306010928962
2010,10.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,177,17.0,0.096045197740113
2011,19.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,206,24.0,0.11650485436893204
2012,10.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,185,18.0,0.0972972972972973
2013,14.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,211,20.0,0.0947867298578199
2014,11.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,199,20.0,0.10050251256281408
2015,12.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,219,20.0,0.091324200913242
2016,14.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,206,25.0,0.12135922330097088
2017,9.0,5.0,0.0,0.0,3.0,3.0,2.0,4.0,5.0,5.0,224,36.0,0.16071428571428573
2018,18.0,16.0,2.0,1.0,5.0,2.0,1.0,3.0,3.0,2.0,258,53.0,0.2054263565891473
2019,11.0,4.0,2.0,0.0,5.0,0.0,0.0,3.0,2.0,1.0,263,28.0,0.10646387832699619
2020,25.0,13.0,2.0,6.0,7.0,1.0,4.0,0.0,1.0,1.0,289,60.0,0.20761245674740483
2021,18.0,18.0,0.0,3.0,5.0,0.0,2.0,0.0,2.0,0.0,296,48.0,0.16216216216216217
2022,12.0,16.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,276,35.0,0.12681159420289856
2023,8.0,14.0,0.0,6.0,4.0,0.0,1.0,1.0,1.0,0.0,275,35.0,0.12727272727272726
2024,5.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,194,23.0,0.11855670103092783
