code,country,citation_instances
US,United States,18443
CA,Canada,9505
CN,China,8456
GB,United Kingdom,6167
DE,Germany,5610
FR,France,4446
AU,Australia,3787
ES,Spain,2999
JP,Japan,2663
IT,Italy,2257
NO,Norway,1916
IN,India,1844
CH,Switzerland,1839
NL,Netherlands,1799
SE,Sweden,1710
BR,Brazil,1392
RU,RU,1306
CZ,CZ,1229
DK,Denmark,1211
AT,AT,1091
BE,BE,1073
KR,South Korea,1043
NZ,New Zealand,1041
ZA,ZA,979
PL,PL,863
CL,CL,799
PT,Portugal,757
FI,FI,674
MX,MX,665
HK,HK,548
AR,AR,538
SA,SA,528
IE,IE,432
IL,IL,430
ID,ID,420
TW,TW,392
TR,TR,388
SG,SG,359
MY,MY,339
SK,SK,318
GR,GR,297
HU,HU,263
PK,PK,254
IR,IR,238
CO,CO,234
TH,TH,225
BD,BD,210
EG,EG,204
RO,RO,174
IS,IS,160
EE,EE,159
SI,SI,156
KE,KE,154
PE,PE,151
HR,HR,140
NG,NG,136
PH,PH,128
PA,PA,122
MA,MA,120
AE,AE,117
UA,UA,116
VN,VN,111
BM,BM,107
EC,EC,104
NP,NP,100
CY,CY,96
LK,LK,94
LT,LT,94
GH,GH,93
GE,GE,91
CR,CR,82
UY,UY,77
RW,RW,77
RS,RS,76
TN,TN,76
BY,BY,73
BG,BG,71
MC,MC,71
NC,NC,68
PR,PR,68
ET,ET,66
KZ,KZ,65
VE,VE,62
TZ,TZ,57
DZ,DZ,57
TJ,TJ,54
UG,UG,52
PF,PF,49
MO,MO,43
IQ,IQ,41
BI,BI,41
LV,LV,39
LU,LU,39
FJ,FJ,38
LB,LB,38
RE,RE,36
AZ,AZ,36
QA,QA,36
MN,MN,34
ZM,ZM,33
KW,KW,33
ZW,ZW,33
GL,GL,32
ME,ME,31
CM,CM,30
CW,CW,30
BW,BW,29
UZ,UZ,29
MG,MG,26
AM,AM,26
CU,CU,26
KN,KN,26
GU,GU,24
BO,BO,23
BS,BS,23
GF,GF,23
MV,MV,23
SC,SC,22
BN,BN,22
BJ,BJ,22
MW,MW,21
YE,YE,21
JO,JO,21
CI,CI,20
OM,OM,19
SN,SN,19
NA,NA,18
MZ,MZ,17
SS,SS,17
FK,FK,16
SD,SD,16
FO,FO,16
CD,CD,16
MT,MT,16
SJ,SJ,16
BF,BF,15
VI,VI,15
KG,KG,15
AL,AL,15
KH,KH,14
GP,GP,14
MK,MK,13
MD,MD,12
JM,JM,12
MM,MM,12
GD,GD,11
BH,BH,11
BZ,BZ,10
PY,PY,10
PG,PG,9
TT,TT,9
BA,BA,9
GA,GA,8
NE,NE,8
LA,LA,7
DO,DO,7
CG,CG,7
ML,ML,7
BB,BB,6
NI,NI,6
MR,MR,6
MU,MU,6
GT,GT,6
PS,PS,6
BT,BT,5
VU,VU,5
CV,CV,5
GW,GW,4
PW,PW,4
SY,SY,4
GN,GN,4
SO,SO,4
GM,GM,4
AF,AF,3
GI,GI,3
HN,HN,3
LY,LY,3
TG,TG,3
TO,TO,3
GY,GY,2
SL,SL,2
AG,AG,2
SV,SV,2
SB,SB,2
WS,WS,2
AO,AO,2
KY,KY,2
ER,ER,1
DM,DM,1
JE,JE,1
FM,FM,1
SR,SR,1
AW,AW,1
VG,VG,1
MQ,MQ,1
SZ,SZ,1
IM,IM,1
LI,LI,1
TD,TD,1
