funder_id,funder,works
F4320334593,Natural Sciences and Engineering Research Council of Canada,443
F4320306076,National Science Foundation,135
F4320309949,Canadian Institute for Advanced Research,105
F4320334596,Fisheries and Oceans Canada,77
F4320322675,Mitacs,70
F4320306202,Gordon and Betty Moore Foundation,66
F4320332181,National Oceanic and Atmospheric Administration,60
F4320320994,Canada Research Chairs,53
F4320306101,National Aeronautics and Space Administration,40
F4320334631,Natural Environment Research Council,39
F4320334506,Canadian Institutes of Health Research,38
F4320334617,Social Sciences and Humanities Research Council of Canada,33
F4320306084,U.S. Department of Energy,33
F4320329270,Pacific Salmon Foundation,32
F4320320022,Sight Research UK,32
F4320335271,British Columbia Knowledge Development Fund,31
F4320319973,Genome British Columbia,27
F4320313514,Marine Environmental Observation Prediction and Response Network,27
F4320319952,Canada Foundation for Innovation,26
F4320332359,Office of Science,25
F4320320300,European Commission,25
F4320320924,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,23
F4320316170,Joint Genome Institute,23
F4320321730,Fonds Wetenschappelijk Onderzoek,22
F4320310787,Genome Canada,22
F4320331273,Liber Ero Foundation,21
F4320321487,"Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada",20
F4320323299,Norges Forskningsråd,20
F4320321001,National Natural Science Foundation of China,19
F4320321114,Bundesministerium für Bildung und Forschung,19
F4320320883,Agence Nationale de la Recherche,18
F4320306083,Smithsonian Institution,17
F4320309024,National Geographic Society,16
F4320315156,Parks Canada,16
F4320320879,Deutsche Forschungsgemeinschaft,15
F4320338426,NOAA Pacific Marine Environmental Laboratory,15
F4320318240,European Space Agency,15
F4320322337,Killam Trusts,14
F4320328870,Raincoast Conservation Foundation,13
F4320334764,Japan Society for the Promotion of Science,13
F4320327336,Vlaamse regering,13
F4320314000,Compute Canada,13
F4320320006,Royal Society,12
F4320337957,Ocean Acidification Program,12
F4320334436,Canadian Space Agency,12
F4320319965,Michael Smith Health Research BC,12
F4320338368,FP7 People: Marie-Curie Actions,11
F4320337386,Division of Ocean Sciences,10
F4320306554,Wilburforce Foundation,10
F4320319880,Government of Canada,10
F4320332478,U.S. Forest Service,10
F4320334704,Australian Research Council,10
F4320313932,Institut de Recherche pour le Développement,10
F4320323648,"Ministry of the Environment, Government of Japan",10
F4320325698,Helmholtz Association,10
F4320338337,H2020 Marie Skłodowska-Curie Actions,10
F4320335777,National Key Research and Development Program of China,10
F4320322007,Ministry of Environment,9
F4320306079,David and Lucile Packard Foundation,9
F4320320386,Commonwealth Scientific and Industrial Research Organisation,9
F4320332182,U.S. Fish and Wildlife Service,9
F4320332999,Horizon 2020 Framework Programme,9
F4320322375,Leading Edge Endowment Fund,8
F4320306111,U.S. Department of Commerce,8
F4320321079,Russian Foundation for Basic Research,8
F4320325263,Environment and Climate Change Canada,8
F4320335310,Fondation BNP Paribas,8
F4320306148,Pew Charitable Trusts,8
F4320314731,UK Research and Innovation,8
F4320322482,Akademie Věd České Republiky,8
F4320332183,U.S. Geological Survey,8
F4320321519,Centre National d’Etudes Spatiales,8
F4320321481,"Canada Excellence Research Chairs, Government of Canada",8
F4320332161,National Institutes of Health,8
F4320321006,Grantová Agentura České Republiky,8
F4320315606,Tides Canada,7
F4320332167,Directorate for Biological Sciences,7
F4320319864,ArcticNet,7
F4320337784,NOAA Research,7
F4320306107,U.S. Environmental Protection Agency,7
F4320319035,Flotte Océanographique Française,7
F4320322894,Institut Polaire Français Paul Emile Victor,7
F4320312724,Pacific Institute for Climate Solutions,7
F4320306108,U.S. Department of Transportation,7
F4320333345,North Pacific Research Board,7
F4320306114,U.S. Department of Agriculture,6
F4320322725,China Scholarship Council,6
F4320320854,Marine Institute,6
F4320327142,Prince Albert II of Monaco Foundation,6
F4320308377,National Center for Atmospheric Research,6
F4320320222,National Centre for Atmospheric Science,6
F4320321133,Chinese Academy of Sciences,6
F4320325651,Alberta Innovates,6
F4320331771,European Centre for Medium-Range Weather Forecasts,6
F4320332375,Jet Propulsion Laboratory,6
F4320334928,Institut national des sciences de l'Univers,6
F4320337960,Global Ocean Monitoring and Observing Program,6
F4320338287,Oak Ridge National Laboratory,6
F4320315885,Australian Government,6
F4320336032,Global Water Futures,6
F4320337351,National Cancer Institute,6
