source_id,display_name,publisher
S7407059834,Aridhia Informatics Ltd.,Deactivated repositories
S7407059838,Registry of Open Data on AWS,Deactivated repositories
S7407059863,Freshwater Biological Association,Deactivated repositories
S7407059879,Center for Coastal & Ocean Mapping,Deactivated repositories
S7407059884,Unité de recherche en pratique pharmaceutique du Centre hospitalier universitaire Sainte-Justine,Deactivated repositories
S7407059885,Citrine community data,Deactivated repositories
S7407059897,African Population and Health Research Centre,Deactivated repositories
S7407059898,"Fondazione Eucentre, Centro Europeo di Formazione e Ricerca in Ingegneria Sismica",Deactivated repositories
S7407059899,Comitato Ev-K2-CNR,Deactivated repositories
S7407059902,Università degli Studi di Firenze,Deactivated repositories
S7407059909,GTEx,Deactivated repositories
S7407059910,TOPMed,Deactivated repositories
S7407059954,BA Justiz,Deactivated repositories
S7407059955,"Hochschule der Künste, Berner Fachhochschule",Repositories moved to a different RA
S7407059956,ALT Proceedings / UB Bern,Repositories moved to a different RA
S7407059957,BOP: BAF,Repositories moved to a different RA
S7407059958,BOP: EHB,Repositories moved to a different RA
S7407059959,BOP: HASBOnline,Repositories moved to a different RA
S7407059960,BOP: Informationswissenschaft,Repositories moved to a different RA
S7407059961,BOP - itw: im dialog,Repositories moved to a different RA
S7407059962,BOP: JDS,Repositories moved to a different RA
S7407059963,BOP: JEMR,Repositories moved to a different RA
S7407059967,Uni Genf: Abrep,Repositories moved to a different RA
S7407059968,Uni Genf: Connexe,Repositories moved to a different RA
S7407059969,Uni Genf: Lingua lugar,Repositories moved to a different RA
S7407059970,HOPE: Conexus,Repositories moved to a different RA
S7407059971,HOPE: Gesellschaft -Individuum- Sozialforschung. Zeitschrift für Sozialforschung,Repositories moved to a different RA
S7407059972,HOPE: Journal für Psychoanalyse,Repositories moved to a different RA
S7407059973,HOPE: SComS,Repositories moved to a different RA
S7407059974,HOPE: sui generis,Repositories moved to a different RA
S7407059975,IDS Luzern,Deactivated repositories
S7407059976,JROI - Journal of Radiation Oncology Informatics,Repositories moved to a different RA
S7407059977,BOP - Linguistik Online,Repositories moved to a different RA
S7407059978,SICAS,Deactivated repositories
S7407059979,UB Bern,Repositories moved to a different RA
S7407059980,UB Basel Eterna,Repositories moved to a different RA
S7407059981,HOPE: altrelettere,Repositories moved to a different RA
S7407059983,MSF Science Portal,Deactivated repositories
S7407059987,The Royal Central School of Speech and Drama,Deactivated repositories
S7407060001,Rede Nacional de Ensino e Pesquisa RNP,Deactivated repositories
S7407060002,datalino,Deactivated repositories
S7407060003,Deutsches Institut für Erwachsenenbildung,Deactivated repositories
S7407060006,"Institut für Erziehungswissenschaft,WWU Münster",Repositories moved to a different RA
S7407060007,Institut für Publizistik- und Kommunikationswissenschaft an der FU Berlin,Deactivated repositories
S7407060008,Theoretical Philosophy/MIND Group – JGU Mainz,Deactivated repositories
S7407060009,Zeitschrift für Frauen- und Geschlechterforschung,Deactivated repositories
S7407060011,vz-nrw (Verbraucherzentrale Nordrhein-Westfalen e. V.),Deactivated repositories
S7407060015,Gigantum,Deactivated repositories
S7407060027,HEALLINK,Deactivated repositories
S7407060028,Ionion University,Deactivated repositories
S7407060029,National Agricultural Research Foundation (NAGREF),Deactivated repositories
S7407060030,Hellenic Mediterranean University,Deactivated repositories
S7407060031,TEI of Eastern Macedonia and Thrace,Deactivated repositories
S7407060032,TEI of Peloponnese,Deactivated repositories
S7407060033,TEI of Central Macedonia (formerly TEI of Serres),Deactivated repositories
S7407060043,DataVerse Prueba,Deactivated repositories
S7407060044,Repositorio Biblioteca Digital Externadista,Deactivated repositories
S7407060060,Gerardo Bautista,Repositories moved to a different RA
S7407060063,Ecole de Psychologues Praticiens,Deactivated repositories
S7407060066,INSTITUT PAUL BOCUSE RESEARCH CENTER,Deactivated repositories
S7407060069,Conferences & Abstraits Management system,Deactivated repositories
S7407060075,Editions du Traité de Médecine,Deactivated repositories
S7407060084,Advocacy Unified Network,Deactivated repositories
S7407060135,Living Goods,Deactivated repositories
S7407060174,Performa folyóirat (Eszterházy Károly Egyetem BTK),Repositories moved to a different RA
S7407060227,Instytut Geodezji i Kartografii,Deactivated repositories
S7407060229,Małopolska Wyższa Szkoła Ekonomiczna,Deactivated repositories
S7407060234,SDIRECT24,Deactivated repositories
S7407060235,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,Deactivated repositories
S7407060236,STUDIO-NOA,Deactivated repositories
S7407060239,WROCLAW UNIVERSITY OF SCIENCE & TECHNOLOGY CWINT,Deactivated repositories
S7407060248,Redundant DOIs with prefix 10.11585,Deactivated repositories
S7407060262,Institute of Archaeology Russian Academy of Sciences,Deactivated repositories
S7407060263,Abay Myrzakhmetov Kokshetau University,Deactivated repositories
S7407060264,Aquilon Ltd,Deactivated repositories
S7407060265,Vaganova Academy of Russian Ballet,Deactivated repositories
S7407060266,All-Russian Research Institute of Corn,Deactivated repositories
S7407060267,Altai State Technical University,Deactivated repositories
S7407060268,Larionov A.V.,Deactivated repositories
S7407060269,All-Russian Institute of Plant Protection,Deactivated repositories
S7407060270,Chelyabinsk Regional Children's Clinical Hospital,Deactivated repositories
S7407060271,Chuvash State Pedagogical University named after Yakovlev I.,Deactivated repositories
S7407060275,"LLC ""Info-Electrosvyaz""",Deactivated repositories
S7407060276,ElIT LLC,Deactivated repositories
S7407060277,Financial Economics,Deactivated repositories
S7407060278,Far Eastern Branch of the Russian Academy of Sciences,Deactivated repositories
S7407060279,Fersman Mineralogical Museum,Deactivated repositories
S7407060282,Grozny State Oil Technical University named after Academician M.D. Millionschikova,Deactivated repositories
S7407060283,Hematology Research Center of the Ministry of Healthcare of the Russian Federation,Deactivated repositories
S7407060284,Revista Científica HGDA,Deactivated repositories
S7407060286,Instituto de Estudios Políticos Andinos,Deactivated repositories
S7407060288,Institute of General Pathology and Pathophysiology,Repositories moved to a different RA
S7407060289,Firsova Y.G.,Deactivated repositories
S7407060290,Institute of Astronomy of the Russian Academy of Sciences,Deactivated repositories
S7407060291,Alkor Povolzhie,Deactivated repositories
S7407060292,Chuvash regional branch of the interregional public organization Academy of Informatization of Education,Deactivated repositories
S7407060293,Kurchatov Institute - IREA,Deactivated repositories
S7407060294,IRKUTSK STATE MEDICAL UNIVERSITY,Deactivated repositories
S7407060295,Rabbit and Fur-Bearing Animal Breeding,Deactivated repositories
S7407060296,"Federal State Budgetary Institution ""Institute of Pedagogy, Psychology and Social Problems""",Deactivated repositories
S7407060297,Vitus Bering Kamchatka State University,Deactivated repositories
S7407060298,Kola Science Center of the Russian Academy of Sciences,Deactivated repositories
S7407060299,Kompozitor,Repositories moved to a different RA
S7407060300,Interregional Association of Theorists of State and Law,Deactivated repositories
