source_id,display_name,oa_publisher,oa_country,doaj_title,doaj_publisher,doaj_country,walden_issns,doaj_match_issn,name_linked,n_tokens,flag_reason
S27475527,Public relations journal,,US,Public Relations Journal,Insitute for Public Relations,United States,0033-3670,1942-4604,True,3,
S32725236,Berliner und Münchener tierärztliche Wochenschrift,,DE,Berliner und Münchener Tierärztliche Wochenschrift,Schlütersche Fachmedien GmbH,Germany,0005-9366,1439-0299,True,5,
S33952821,Kritika,,US,Kritika,Institute for Philosophy and Social Theory,Serbia,1531-023X|1538-5000,2683-5959,True,1,country_conflict
S56137297,Currents,,US,Currents,Academic Association for Doctoral Students of English Philology,Poland,0748-478X,2545-0387,True,1,country_conflict
S117294868,Aleph,Indiana University Press,IL,Aleph,Edile (Edition et diffusion de l'écrit scientifique),Algeria,1553-3956|1565-1525,2437-1076,True,1,publisher_conflict;country_conflict
S163381719,NANO,World Scientific,SG,NANO,New York City College of Technology,United States,1793-2920|1793-7094,2160-0104,True,1,publisher_conflict;country_conflict
S168233274,Central Europe,Informa,GB,Central Europe,University of Minnesota Libraries Publishing,United States,1479-0963|1745-8218,2689-5978,True,2,publisher_conflict;country_conflict
S203437272,Asian Pacific Journal of Tropical Medicine,Medknow Publications,HK,Asian Pacific Journal of Tropical Medicine,Wolters Kluwer Medknow Publications,India,1995-7645,2352-4146,True,6,
S2736437162,Territorio Italia,,IT,Territorio Italia,Agenzia delle Entrate,Italy,,2499-2674,True,2,
S2736461717,Actualidad Económica,,ES,Actualidad Económica,Universidad Nacional de Córdoba,Argentina,,2250-754X,True,2,country_conflict
S2736494751,Andes,,PL,Andes,"Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología",Argentina,1428-1384,1668-8090,True,1,country_conflict
S2736656097,Journal of Social Science Education,,DE,Journal of Social Science Education,Bielefeld University,Germany,,1618-5293,True,5,
S2736710644,Red Feather Journal,,,Red Feather Journal,Red Feather Journal,United States,,2150-5381,True,3,
S2737176555,Paidagogos,,,Paidagogos,"Paidagogos - Society For Philosophy, Theory and Praxis of Education",Czechia,,1213-3809,True,1,
S2737474119,Quaestus,,,Quaestus,"Editura Eurostampa, Timisoara",Romania,,2343-8134,True,1,
S2737603951,inTRAlinea: Online Translation Journal,,,inTRAlinea: Online Translation Journal,University of Bologna,Italy,,1827-000X,True,4,
S2737691579,Bulletin of Urooncology,Galenos Yayinevi,TR,Bulletin of Urooncology,Turkish Urooncology Association,Türkiye,2147-2122|2147-2270,2667-4610,True,3,publisher_conflict
S2737750433,International Journal of Economic Behavior,,,International Journal of Economic Behavior,Università degli Studi di Urbino Carlo Bo,Italy,,2069-5756,True,5,
S2737776543,Jurnal MIPA,dCartesian,ID,Jurnal MIPA,Universitas Negeri Semarang,Indonesia,2302-3899,0215-9945,True,2,publisher_conflict
S2737991997,Mamlūk studies review,,US,Mamlūk Studies Review,"Middle East Documentation Center (MEDOC), University of Chicago",United States,1086-170X,1947-2404,True,3,
S2738245935,Revista de investigaciones marinas,,CU,Revista de Investigaciones Marinas,Centro de investigaciones Marinas-UH,Cuba,0252-1962,1991-6086,True,4,
S2738442270,Archeologia e Calcolatori,,IT,Archeologia e Calcolatori,Edizioni All'Insegna del Giglio,Italy,,1120-6861,True,3,
S2738669136,Publicar en antropología y ciencias sociales,,AR,Publicar en Antropología y Ciencias Sociales,Colegio de Graduados en Antropología de la República Argentina,Argentina,0327-6627,2250-7671,True,6,
S2738819332,International Journal of Social and Educational Innovation,,RO,International Journal of Social and Educational Innovation,Association of Social and Educational Innovation,Romania,2392-6252,2393-0373,True,7,
S2738866478,Ts. Cuadernos de trabajo social,,CL,TS Cuadernos de Trabajo Social,Universidad de San Sebastián,Chile,0718-1612,0719-6520,True,5,
S2739148201,Issues in educational research,,AU,Issues in Educational Research,Australian Institutes for Educational Research,Australia,0313-7155,1837-6290,True,4,
S2739194947,Telemática,,,Telemática,Departamento de Telecomunicaciones y Telemática,Cuba,,1729-3804,True,1,
S2739332720,JETEN,,PT,JETEN,European Teacher Education Network,Belgium,,2183-2234,True,1,country_conflict
S2739335017,Glosas,,PT,Glosas,Academia Norteamericana de la Lengua Espanola,United States,2182-1380,2327-7173,True,1,country_conflict
S2764354211,International Journal of Industrial Engineering & Production Research,,,International Journal of Industrial Engineering and Production Research,Iran University of Science & Technology,"Iran, Islamic Republic of",,2345-363X,False,8,
S2764364248,Gulhane Medical Journal,Galenos Yayinevi,TR,Gülhane Tıp Dergisi,"Gülhane Faculty of Medicine, University of Health Sciences Türkiye",Türkiye,1302-0471,2146-8052,False,3,publisher_conflict
S2764402245,Alexandria Journal of Veterinary Sciences,,,Alexandria Journal of Veterinary Sciences,Faculy of Veterinary Medicine Alexandria University,Egypt,1110-2047,2536-9520,True,5,
S2764460177,Sahel Medical Journal,Medknow Publications,NG,Sahel Medical Journal,Wolters Kluwer Medknow Publications,India,1118-8561,2321-6689,True,3,
S2764467031,Journal of Medicinal Plants,Armenian Green Publishing Co.,IR,Journal of Medicinal Plants,"Institue of Medicinal Plants, ACECR","Iran, Islamic Republic of",1684-0240,2717-204X,True,4,publisher_conflict
S2764620049,international journal of advanced design and manufacturing technology,,,International Journal of Advanced Design and Manufacturing Technology,Islamic Azad University-Isfahan (Khorasgan) Branch,"Iran, Islamic Republic of",,2383-4447,True,8,
S2764687021,The Australasian Journal of Combinatorics,,,The Australasian Journal of Combinatorics,University of Queensland,Australia,,2202-3518,True,5,
S2764801849,Science and research,,,Science & Research,Union of Scientists - Stara Zagora,Bulgaria,,2535-0765,False,3,
S2764804366,Saudi Endodontic Journal,,IN,Saudi Endodontic Journal,Wolters Kluwer Medknow Publications,India,2278-9618,2320-1495,True,3,
S2764827333,Mediascapes journal,,,Mediascapes Journal,Sapienza Università Editrice,Italy,,2282-2542,True,2,
S2764834646,Ido Movement for Culture. Journal of Martial Arts Anthropology,,,Ido Movement for Culture: Journal of Martial Arts Anthropology,Idokan Poland Association in Rzeszów,Poland,,2082-7571,True,9,
S2764859838,Ewha Medical Journal,"The Ewha Medical Journal, Ewha Womans University College of Medicine",KR,The Ewha Medical Journal,Ewha Womans University College of Medicine,"Korea, Republic of",1598-7450,2234-2591,False,3,
S2764865170,Journal of Agriculture and Rural Development in the Tropics and Subtropics,,,Journal of Agriculture and Rural Development in the Tropics and Subtropics,Kassel University Press,Germany,,2363-6033,True,11,
S2764892019,Atatürk University Journal of Agricultural Faculty,Ataturk University Journal of the Agricultural Faculty,TR,Atatürk Üniversitesi Ziraat Fakültesi Dergisi,Atatürk University,Türkiye,1300-9036,2651-5016,False,6,publisher_conflict
S2764921196,The Italian Journal of Linguistics,,,Italian Journal of Linguistics,Pacini Editore Srl,Italy,,2499-8117,False,5,
S2764945352,Journal of Baghdad College of Dentistry,Journal of Baghdad College of Dentistry,IQ,Journal of Baghdad College of Dentistry,College of Dentistry/ University of Baghdad,Iraq,1680-0087,1817-1869,True,6,publisher_conflict
S2764989470,Chemical |Process Design,,,Chemical Process Design,University of Sistan and Baluchestan,"Iran, Islamic Republic of",,2980-8707,True,3,
S2764989659,journal of medicinal plants and by-products,,,Journal of Medicinal Plants and By-products,Iranian Medicinal Plants Society,"Iran, Islamic Republic of",,2322-1399,True,6,
S2764993024,The Journal of Art Historiography,,,Journal of Art Historiography,"Department of Art History, University of Birmingham",United Kingdom,,2042-4752,False,5,
S2765008358,future of medical education journal,,,Future of Medical Education Journal,Mashhad University of Medical Sciences,"Iran, Islamic Republic of",,2251-8347,True,5,
S2898159490,Matrix,Elsevier,NL,Matrix,"International Network for Training, Education, and Research on Culture",Canada,0934-8832|2352-0736,2563-3392,True,1,publisher_conflict;country_conflict
S4210169478,Entretextos,Universidade Estadual de Londrina,BR,Entretextos,Universidad de La Guajira,Colombia,1519-5392|2764-0809,2805-6159,True,1,publisher_conflict;country_conflict
S4210169633,Journal of Research in Psychology,Readers Insight Publisher,PK,Journal of Research in Psychology,"Lahore College for Women University, Lahore, Pakistan",Pakistan,2664-9497|2664-9500,2959-944X,True,5,publisher_conflict
S4210172585,Kastamonu University Journal of Forestry Faculty,Kastamonu University Journal of Forestry Faculty,TR,Kastamonu Üniversitesi Orman Fakültesi Dergisi,Kastamonu University,Türkiye,1303-2399,1309-4181,False,6,
S4210172977,Iranian Journal Of Health Sciences,Knowledge E,IR,علوم بهداشتی ایران,Mazandaran University of Medical Sciences,"Iran, Islamic Republic of",2322-4797,2322-553X,False,5,publisher_conflict
S4210174942,Turkish Journal of Hematology,Galenos Yayinevi,TR,Turkish Journal of Hematology,Turkish Society of Hematology,Türkiye,1300-7777,1308-5263,True,4,publisher_conflict
S4210174979,Diritto Dello Sport,Bononia University Press,IT,Diritto dello Sport,Bologna University Press,Italy,2284-3361,2785-1141,True,3,publisher_conflict
S4210175814,Journal of Education and Research in Nursing,Logos Medical Publication,TR,Journal of Education and Research in Nursing,Koc University,Türkiye,1305-0397|2618-5741,2757-9204,True,7,publisher_conflict
S4210176476,History Education Research Journal,Institute of Education Press,GB,History Education Research Journal,UCL Press,United Kingdom,1472-9466|1472-9474,2631-9713,True,4,publisher_conflict
S4210179742,Agricultura,,SI,Agricultura,AcademicPres,Romania,1580-8424|1580-8432|1581-5439,1221-5317,True,1,country_conflict
S4210180913,Asian Journal of Economics and Banking,,GB,Asian Journal of Economics and Banking,Emerald Publishing,United Kingdom,2633-7991,2615-9821,True,6,
S4210183044,Teknika,Universitas Semarang,ID,Teknika,Universitas Semarang,Indonesia,2580-8478,1410-4202,True,1,
S4210183707,Revista Enfoques,Centro de Investigacion y Desarrollo Ecuador,BO,Revista Enfoques,Universidad Central de Chile,Chile,2616-8219,0718-9656,True,2,publisher_conflict;country_conflict
S4210185334,Asian Journal of Assessment in Teaching and Learning,Universiti Pendidikan Sultan Idris,MY,Asian Journal of Assessment in Teaching and Learning,UPSI Press,Malaysia,2232-1926|2600-870X,2821-2916,True,8,publisher_conflict
S4210188434,Revista Brasileira Multidisciplinar,Revista Brasileira Multidisciplinar - Rebram,BR,Revista Brasileira Multidisciplinar - ReBraM /Brazilian Multidisciplinay Journal,"Maria Lúcia Ribeiro,",Brazil,2527-2675,1415-3580,False,3,publisher_conflict
S4210190064,The Journal of Mesopotamian Studies,The Journal of Mesopotamian Studies,TR,Artuklu Kurdology,Mardin Artuklu University,Türkiye,2147-6659,3062-0236,False,5,publisher_conflict
S4210195256,Management & Data Science,Management et Data Science,FR,Management & Datascience,Association Management & Datascience,France,2555-7033,2555-7017,True,4,publisher_conflict
S4210195500,Uludağ İlahiyat Dergisi,Uludag University Faculty of Theology,TR,Uludağ İlahiyat Dergisi,Bursa Uludağ University,Türkiye,1301-3394|2667-680X,2980-2482,True,3,publisher_conflict
S4210196521,Journal of Civil & Environmental Engineering,OMICS Publishing Group,US,Journal of civil and environmental engineering,University of Tabriz,"Iran, Islamic Republic of",2165-784X,2008-7918,False,6,publisher_conflict;country_conflict
S4210196690,Contemporary Social Sciences,,IN,Contemporary Social Sciences,Editorial Department of Contemporary Social Sciences,China,0302-9298,2096-0212,True,3,
S4210197338,Erciyes İletişim Dergisi,Erciyes Iletisim Dergisi,TR,Erciyes İletişim Dergisi,Erciyes University,Türkiye,1308-3198,2667-5811,True,3,publisher_conflict
S4210198017,İstanbul Üniversitesi Orman Fakültesi Dergisi,Istanbul University,TR,İstanbul Üniversitesi Orman Fakültesi Dergisi,İstanbul University,Türkiye,1309-6257,0535-8418,True,5,publisher_conflict
S4210199498,Recherches en didactique des langues et des cultures,OpenEdition,FR,Recherches en didactique des langues et des cultures,ACEDLE,France,1958-5772,2606-2534,True,8,publisher_conflict
S4210202716,Osmanlı Bilimi Araştırmaları / Studies in Ottoman Science,Istanbul University,TR,Osmanli Bilimi Arastirmalari,Istanbul University Press,Türkiye,2458-7982,1303-3123,False,8,
S4210204018,Turkish Journal of Plastic Surgery / Türk Plastik Rekonstrüktif ve Estetik Cerrahi Dergisi,Medknow Publications,TR,Turkish Journal of Plastic Surgery,Wolters Kluwer Medknow Publications,India,1308-8475,2528-8644,False,13,country_conflict
S4210206280,Scientific Bulletin,,PL,Buletinul Ştiinţific al Academiei Trupelor de Uscat,Sciendo,Poland,2451-3148,2247-8396,False,2,
S4210207260,The Polish Journal of Aesthetics,Index Copernicus International,PL,The Polish Journal of Aesthetics,Institute of Philosophy of the Jagiellonian University,Poland,1643-1243|2353-723X,2544-8242,True,5,publisher_conflict
S4210210927,International Review of Social Psychology,"Ubiquity Press, Ltd.",FR,International Review of Social Psychology,Ubiquity Press,United Kingdom,0992-986X|2119-4130,2397-8570,True,5,country_conflict
S4210212637,Lisanul Arab Journal of Arabic Learning and Teaching,Universitas Negeri Semarang,ID,Lisan Al-Arab: Journal of Arabic Language and Arabic,Universitas Negeri Semarang,Indonesia,2721-4222,2252-6269,False,8,
S4210213780,INRAE Productions Animales,Universite de Bordeaux,FR,INRAE Productions Animales,"Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (INRAE)",France,2273-774X|2273-7766,2824-3633,True,3,publisher_conflict
S4210218306,International Journal on Language Research and Education Studies,Faculty of Islamic Education and Teachers Training,ID,IJLRES (International Journal on Language Research and Education Studies),State Islamic University of North Sumatra,Indonesia,2580-6785,2580-6777,False,8,publisher_conflict
S4210220095,Sari Pediatri,Paediatrica Indonesiana  - Indonesian Pediatric Society,ID,Sari Pediatri,Badan Penerbit Ikatan Dokter Anak Indonesia,Indonesia,2338-5022,2338-5030,True,2,publisher_conflict
S4210221078,Educational futures,,NL,Educational Futures,The International Education Studies Association,United Kingdom,2214-9864|2214-9872,1758-2199,True,2,country_conflict
S4210221339,SENDAS,Instituto de Innovacion y Formacion Cientifica,PE,Sendas,Editorial de la Facultad de Artes de la Universidad Nacional de Córdoba,Argentina,2708-6380,2618-2254,True,1,publisher_conflict;country_conflict
S4210221379,Korean Journal of Anesthesiology,The Korean Society of Anesthesiologists,KR,Korean Journal of Anesthesiology,Korean Society of Anesthesiologists,"Korea, Republic of",0302-5780,2005-6419,True,4,
S4210225307,The Journal of V N Karazin Kharkiv National University Series Physics,V. N. Karazin Kharkiv National University,UA,Vìsnik Harkìvsʹkogo nacìonalʹnogo unìversitetu ìmenì V.N. Karazìna. Serìâ: fìzika.,V. N. Karazin Kharkiv National University,Ukraine,2073-3771,2222-5617,False,11,
S4210230201,Cellular Oncology,Springer Nature,NL,Cellular Oncology,Wiley,United Kingdom,2211-3428|2211-3436,1570-5870,True,2,publisher_conflict;country_conflict
S4210230485,Yeungnam University Journal of Medicine,Yeungnam University College of Medicine,KR,Yeungnam University Journal of Medicine,Yeungnam University College of Medicine,"Korea, Republic of",1225-7737|2234-8042,2384-0293,True,5,
S4210230978,Ramon journal of applied ethics,,ES,Ramon Journal of Applied Ethics,Ramon Llull University and Herder (publishing house),Spain,2229-578X,2938-4362,True,5,
S4210231444,AL-Kauniyah Jurnal Biologi,LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,ID,Al-Kauniyah Jurnal Biologi,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Indonesia,2502-6720,1978-3736,True,3,publisher_conflict
