source_id,display_name,verdict,rationale,oa_publisher,oa_country,api_topics,doaj_title,doaj_publisher,doaj_country,flag_reason
S33952821,Kritika,UNLINK,Slavica Publishers Russian-history journal vs Serbian philosophy institute,,US,Soviet and Russian History; Eastern European Communism and Reforms; Historical Geopolitical and Social Dynamics,Kritika,Institute for Philosophy and Social Theory,Serbia,country_conflict
S56137297,Currents,UNLINK,US education/assoc magazine vs Polish English-philology doctoral journal,,US,Education Systems and Policy; Educational Leadership and Practices; Diverse Educational Innovations Studies,Currents,Academic Association for Doctoral Students of English Philology,Poland,country_conflict
S117294868,Aleph,UNLINK,Indiana UP Judaism-and-science journal vs Algerian Edile journal,Indiana University Press,IL,"Medieval and Classical Philosophy; Historical, Religious, and Philosophical Studies; Historical Astronomy and Related Studies",Aleph,Edile (Edition et diffusion de l'écrit scientifique),Algeria,publisher_conflict;country_conflict
S163381719,NANO,UNLINK,World Scientific nano journal vs NYC College of Technology journal,World Scientific,SG,Advanced Photocatalysis Techniques; Supercapacitor Materials and Fabrication; Graphene research and applications,NANO,New York City College of Technology,United States,publisher_conflict;country_conflict
S168233274,Central Europe,UNLINK,Taylor & Francis Central Europe vs U Minnesota Libraries journal,Informa,GB,Eastern European Communism and Reforms; Historical Geopolitical and Social Dynamics; Polish Historical and Cultural Studies,Central Europe,University of Minnesota Libraries Publishing,United States,publisher_conflict;country_conflict
S2736461717,Actualidad Económica,UNLINK,Spanish business magazine vs Cordoba (AR) economics faculty journal,,ES,Magnetic confinement fusion research; Particle accelerators and beam dynamics; Plasma Diagnostics and Applications,Actualidad Económica,Universidad Nacional de Córdoba,Argentina,country_conflict
S2736494751,Andes,KEEP,same journal (publisher-string variants / society-vs-press / platform),,PL,Argentine historical studies; Historical Studies in Latin America; Indigenous Cultures and History,Andes,"Universidad Nacional de Salta, Facultad de Humanidades, Centro Promocional de las Investigaciones en Historia y Antropología",Argentina,country_conflict
S2737691579,Bulletin of Urooncology,KEEP,same journal (publisher-string variants / society-vs-press / platform),Galenos Yayinevi,TR,Prostate Cancer Diagnosis and Treatment; Bladder and Urothelial Cancer Treatments; Prostate Cancer Treatment and Research,Bulletin of Urooncology,Turkish Urooncology Association,Türkiye,publisher_conflict
S2737776543,Jurnal MIPA,UNLINK,dCartesian/UNSRAT Jurnal MIPA vs Universitas Negeri Semarang Jurnal MIPA,dCartesian,ID,Natural Products and Applications; Medicinal Plant Research; Food and Agricultural Sciences,Jurnal MIPA,Universitas Negeri Semarang,Indonesia,publisher_conflict
S2739332720,JETEN,KEEP,same journal (publisher-string variants / society-vs-press / platform),,PT,,JETEN,European Teacher Education Network,Belgium,country_conflict
S2739335017,Glosas,UNLINK,Portuguese Glosas vs ANLE (US) Spanish-language Glosas,,PT,"History, Culture, and Society; Cultural, Media, and Literary Studies; Literature, Culture, and Criticism",Glosas,Academia Norteamericana de la Lengua Espanola,United States,country_conflict
S2764364248,Gulhane Medical Journal,KEEP,same journal (publisher-string variants / society-vs-press / platform),Galenos Yayinevi,TR,Oral and Maxillofacial Pathology; Health and Well-being Studies; Health and Wellbeing Research,Gülhane Tıp Dergisi,"Gülhane Faculty of Medicine, University of Health Sciences Türkiye",Türkiye,publisher_conflict
S2764467031,Journal of Medicinal Plants,KEEP,same journal (publisher-string variants / society-vs-press / platform),Armenian Green Publishing Co.,IR,Essential Oils and Antimicrobial Activity; Pharmacological Effects of Natural Compounds; Natural Antidiabetic Agents Studies,Journal of Medicinal Plants,"Institue of Medicinal Plants, ACECR","Iran, Islamic Republic of",publisher_conflict
S2764892019,Atatürk University Journal of Agricultural Faculty,KEEP,same journal (publisher-string variants / society-vs-press / platform),Ataturk University Journal of the Agricultural Faculty,TR,Agricultural and Rural Development Research; Bee Products Chemical Analysis; Nuts composition and effects,Atatürk Üniversitesi Ziraat Fakültesi Dergisi,Atatürk University,Türkiye,publisher_conflict
S2764945352,Journal of Baghdad College of Dentistry,KEEP,same journal (publisher-string variants / society-vs-press / platform),Journal of Baghdad College of Dentistry,IQ,Dental materials and restorations; Oral microbiology and periodontitis research; Dental Implant Techniques and Outcomes,Journal of Baghdad College of Dentistry,College of Dentistry/ University of Baghdad,Iraq,publisher_conflict
S2898159490,Matrix,UNLINK,Elsevier Matrix (pre-Matrix Biology) vs Canadian education network,Elsevier,NL,Cell Adhesion Molecules Research; Proteoglycans and glycosaminoglycans research; Protease and Inhibitor Mechanisms,Matrix,"International Network for Training, Education, and Research on Culture",Canada,publisher_conflict;country_conflict
S4210169478,Entretextos,UNLINK,Londrina (BR) linguistics vs La Guajira (CO) journal,Universidade Estadual de Londrina,BR,Linguistics and Education Research; Education and Digital Technologies; Linguistics and Language Studies,Entretextos,Universidad de La Guajira,Colombia,publisher_conflict;country_conflict
S4210169633,Journal of Research in Psychology,UNLINK,Readers Insight (PK) psych journal vs Lahore College for Women University journal,Readers Insight Publisher,PK,COVID-19 and Mental Health; Job Satisfaction and Organizational Behavior; Islamic Finance and Banking Studies,Journal of Research in Psychology,"Lahore College for Women University, Lahore, Pakistan",Pakistan,publisher_conflict
S4210172977,Iranian Journal Of Health Sciences,KEEP,same journal (publisher-string variants / society-vs-press / platform),Knowledge E,IR,Health and Well-being Studies; Healthcare Systems and Reforms; Global Health Care Issues,علوم بهداشتی ایران,Mazandaran University of Medical Sciences,"Iran, Islamic Republic of",publisher_conflict
S4210174942,Turkish Journal of Hematology,KEEP,same journal (publisher-string variants / society-vs-press / platform),Galenos Yayinevi,TR,Lymphoma Diagnosis and Treatment; Acute Myeloid Leukemia Research; Chronic Lymphocytic Leukemia Research,Turkish Journal of Hematology,Turkish Society of Hematology,Türkiye,publisher_conflict
S4210174979,Diritto Dello Sport,KEEP,same journal (publisher-string variants / society-vs-press / platform),Bononia University Press,IT,"Doping in Sports; Digitalization, Law, and Regulation; Management, Economics, and Public Policy",Diritto dello Sport,Bologna University Press,Italy,publisher_conflict
S4210175814,Journal of Education and Research in Nursing,KEEP,same journal (publisher-string variants / society-vs-press / platform),Logos Medical Publication,TR,Healthcare Education and Workforce Issues; Health and Wellbeing Research; Health and Well-being Studies,Journal of Education and Research in Nursing,Koc University,Türkiye,publisher_conflict
S4210176476,History Education Research Journal,KEEP,same journal (publisher-string variants / society-vs-press / platform),Institute of Education Press,GB,Educator Training and Historical Pedagogy; Global Education and Multiculturalism; Religious Education and Schools,History Education Research Journal,UCL Press,United Kingdom,publisher_conflict
S4210179742,Agricultura,UNLINK,Maribor (SI) Agricultura vs AcademicPres Cluj (RO) Agricultura,,SI,Ruminant Nutrition and Digestive Physiology; Magnetic confinement fusion research; Genetic and phenotypic traits in livestock,Agricultura,AcademicPres,Romania,country_conflict
S4210183707,Revista Enfoques,UNLINK,Ecuador/Bolivia Revista Enfoques vs U Central de Chile poli-sci journal,Centro de Investigacion y Desarrollo Ecuador,BO,"Business, Innovation, and Economy; Diverse Applied Research Studies; Educational and Organizational Development",Revista Enfoques,Universidad Central de Chile,Chile,publisher_conflict;country_conflict
S4210185334,Asian Journal of Assessment in Teaching and Learning,KEEP,same journal (publisher-string variants / society-vs-press / platform),Universiti Pendidikan Sultan Idris,MY,Technology-Enhanced Education Studies; Education and Critical Thinking Development; Educational Assessment and Pedagogy,Asian Journal of Assessment in Teaching and Learning,UPSI Press,Malaysia,publisher_conflict
S4210188434,Revista Brasileira Multidisciplinar,KEEP,same journal (publisher-string variants / society-vs-press / platform),Revista Brasileira Multidisciplinar - Rebram,BR,Environmental Sustainability and Education; Business and Management Studies; Agricultural and Food Sciences,Revista Brasileira Multidisciplinar - ReBraM /Brazilian Multidisciplinay Journal,"Maria Lúcia Ribeiro,",Brazil,publisher_conflict
S4210190064,The Journal of Mesopotamian Studies,KEEP,same journal (publisher-string variants / society-vs-press / platform),The Journal of Mesopotamian Studies,TR,Turkish Literature and Culture; Families in Therapy and Culture; Cultural and Sociopolitical Studies,Artuklu Kurdology,Mardin Artuklu University,Türkiye,publisher_conflict
S4210195256,Management & Data Science,KEEP,same journal (publisher-string variants / society-vs-press / platform),Management et Data Science,FR,"Business Strategy and Innovation; Education, sociology, and vocational training; Healthcare Systems and Practices",Management & Datascience,Association Management & Datascience,France,publisher_conflict
S4210195500,Uludağ İlahiyat Dergisi,KEEP,same journal (publisher-string variants / society-vs-press / platform),Uludag University Faculty of Theology,TR,Families in Therapy and Culture; Islamic Thought and Society Studies; Islamic Studies and History,Uludağ İlahiyat Dergisi,Bursa Uludağ University,Türkiye,publisher_conflict
S4210196521,Journal of Civil & Environmental Engineering,UNLINK,OMICS (US) civil-eng journal vs University of Tabriz (IR) journal,OMICS Publishing Group,US,Structural Load-Bearing Analysis; Structural Behavior of Reinforced Concrete; Structural Engineering and Vibration Analysis,Journal of civil and environmental engineering,University of Tabriz,"Iran, Islamic Republic of",publisher_conflict;country_conflict
S4210197338,Erciyes İletişim Dergisi,KEEP,same journal (publisher-string variants / society-vs-press / platform),Erciyes Iletisim Dergisi,TR,Media Discourse and Social  Analysis; Social Media and Politics; Media Studies and Communication,Erciyes İletişim Dergisi,Erciyes University,Türkiye,publisher_conflict
S4210198017,İstanbul Üniversitesi Orman Fakültesi Dergisi,KEEP,same journal (publisher-string variants / society-vs-press / platform),Istanbul University,TR,Agricultural and Rural Development Research; Forest ecology and management; Plant Ecology and Taxonomy Studies,İstanbul Üniversitesi Orman Fakültesi Dergisi,İstanbul University,Türkiye,publisher_conflict
S4210199498,Recherches en didactique des langues et des cultures,KEEP,same journal (publisher-string variants / society-vs-press / platform),OpenEdition,FR,French Language Learning Methods; Linguistics and Discourse Analysis; Linguistic and Sociocultural Studies,Recherches en didactique des langues et des cultures,ACEDLE,France,publisher_conflict
S4210204018,Turkish Journal of Plastic Surgery / Türk Plastik Rekonstrüktif ve Estetik Cerrahi Dergisi,KEEP,same journal (publisher-string variants / society-vs-press / platform),Medknow Publications,TR,Reconstructive Surgery and Microvascular Techniques; Reconstructive Facial Surgery Techniques; Wound Healing and Treatments,Turkish Journal of Plastic Surgery,Wolters Kluwer Medknow Publications,India,country_conflict
S4210207260,The Polish Journal of Aesthetics,KEEP,same journal (publisher-string variants / society-vs-press / platform),Index Copernicus International,PL,Language and Culture; Polish Historical and Cultural Studies; Education and Cultural Studies,The Polish Journal of Aesthetics,Institute of Philosophy of the Jagiellonian University,Poland,publisher_conflict
S4210210927,International Review of Social Psychology,KEEP,same journal (publisher-string variants / society-vs-press / platform),"Ubiquity Press, Ltd.",FR,Social and Intergroup Psychology; Cultural Differences and Values; Psychology of Moral and Emotional Judgment,International Review of Social Psychology,Ubiquity Press,United Kingdom,country_conflict
S4210213780,INRAE Productions Animales,KEEP,same journal (publisher-string variants / society-vs-press / platform),Universite de Bordeaux,FR,Agriculture and Rural Development Research; Genetic and phenotypic traits in livestock; French Urban and Social Studies,INRAE Productions Animales,"Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (INRAE)",France,publisher_conflict
S4210218306,International Journal on Language Research and Education Studies,KEEP,same journal (publisher-string variants / society-vs-press / platform),Faculty of Islamic Education and Teachers Training,ID,Education and Character Development; Islamic Finance and Communication; Pancasila Values in Education,IJLRES (International Journal on Language Research and Education Studies),State Islamic University of North Sumatra,Indonesia,publisher_conflict
S4210220095,Sari Pediatri,KEEP,same journal (publisher-string variants / society-vs-press / platform),Paediatrica Indonesiana  - Indonesian Pediatric Society,ID,Public Health and Nutrition; Methodologies in Health Research and Practice; Healthcare Quality and Satisfaction,Sari Pediatri,Badan Penerbit Ikatan Dokter Anak Indonesia,Indonesia,publisher_conflict
S4210221078,Educational futures,UNLINK,Sense/Brill (NL) Educational Futures vs BESA (UK) Educational Futures,,NL,Evaluation of Teaching Practices; Teacher Education and Leadership Studies; Reflective Practices in Education,Educational Futures,The International Education Studies Association,United Kingdom,country_conflict
S4210221339,SENDAS,UNLINK,Peru institute SENDAS vs Cordoba (AR) arts faculty SENDAS,Instituto de Innovacion y Formacion Cientifica,PE,"Education and Teacher Training; Business, Innovation, and Economy; Diverse Applied Research Studies",Sendas,Editorial de la Facultad de Artes de la Universidad Nacional de Córdoba,Argentina,publisher_conflict;country_conflict
S4210230201,Cellular Oncology,UNLINK,Springer Cellular Oncology vs Wiley (UK) DOAJ entry,Springer Nature,NL,"Cancer Cells and Metastasis; Cancer, Hypoxia, and Metabolism; Ferroptosis and cancer prognosis",Cellular Oncology,Wiley,United Kingdom,publisher_conflict;country_conflict
S4210231444,AL-Kauniyah Jurnal Biologi,KEEP,same journal (publisher-string variants / society-vs-press / platform),LP2M Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta,ID,Plant Growth and Agriculture Techniques; Forest Ecology and Conservation; Medicinal Plant Research,Al-Kauniyah Jurnal Biologi,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Indonesia,publisher_conflict
