source_id,display_name,invalid_issn,works_in_cohort
https://openalex.org/S1574008,Mechanics Based Design of Structures and Machines,1536-7734,2512
https://openalex.org/S69773766,URBAN DESIGN International,1468-5419,1077
https://openalex.org/S4210225960,The Review of Diabetic Studies,1613-0575,612
https://openalex.org/S178702154,Algebra Universalis,0002-5270,3105
https://openalex.org/S81625862,British Journal of Psychotherapy,1752-0117,2964
https://openalex.org/S198157528,Annals of Global Analysis and Geometry,0617-8043,1696
https://openalex.org/S54553633,Czechoslovak Journal of Physics,0011-4226,11805
https://openalex.org/S144495243,Journal of Management in Engineering,9742-597X,2963
https://openalex.org/S4210190817,International Review of the Red Cross,1961-1998,7604
https://openalex.org/S148503350,Queueing Systems,0340-4384,2051
https://openalex.org/S22705086,oemagazine,1553-5496,246
https://openalex.org/S14019644,Statistical Modelling,1471-0820,712
https://openalex.org/S64825020,Journal of Artificial Organs,1619-0905,1572
https://openalex.org/S193475107,Hyperfine Interactions,0304-3834,10656
https://openalex.org/S9018758,Transition Metal Chemistry,0304-4285,6107
https://openalex.org/S35045447,Screen,0036-9546,2939
https://openalex.org/S4306501019,Revista Agro mbiente On-line,1982-1084,772
https://openalex.org/S4210194500,JOURNAL OF THE JAPANESE ASSOCIATION OF RURAL MEDICINE,1346-7421,3804
https://openalex.org/S127985767,Journal of Electronic Materials,0381-5235,18818
https://openalex.org/S81410195,Manufacturing & Service Operations Management,1526-5489,1763
https://openalex.org/S55818814,Intel Technology Journal,1535-846X,140
https://openalex.org/S170765028,Stochastic Models,1532-4124,783
https://openalex.org/S2764678598,Avicenna journal of dental research,2008-7695,431
https://openalex.org/S104133745,APLAR Journal of Rheumatology,0219-4810,409
https://openalex.org/S4210216567,Proyecta56 an Industrial Design Journal,2386-5414,42
https://openalex.org/S62676688,Combustion Science and Technology,0010-2203,7000
https://openalex.org/S4210167481,Proceedings of the Aristotelian Society (Hardback),0066-7372,2312
https://openalex.org/S4210167481,Proceedings of the Aristotelian Society (Hardback),0066-7373,2312
https://openalex.org/S183947471,The Canadian Mineralogist,1499-1261,4651
https://openalex.org/S131510807,Random Operators and Stochastic Equations,1539-397X,998
https://openalex.org/S83211391,Journal of Mathematical Sciences,1072-1964,20314
https://openalex.org/S194735492,Tribology Transactions,1547-357X,3741
https://openalex.org/S70681891,Journal of Materials Engineering and Performance,5555-1212,17039
https://openalex.org/S107669889,Discrete Mathematics and Applications,0924-9266,1936
https://openalex.org/S157670870,IEEE Transactions on Computers,0016-9340,14537
https://openalex.org/S121222519,Der Internist,0220-9554,5962
https://openalex.org/S937433771,European Journal of Gastroenterology & Hepatology,0594-691X,9646
https://openalex.org/S67154222,Oecologia,0029-8519,14839
https://openalex.org/S4210198345,State of California Labor,1531-9037,24
https://openalex.org/S59042063,Asian-Pacific Economic Literature,1467-8441,1473
https://openalex.org/S48690275,European Journal of Epidemiology,0392-2990,5180
