source_id,display_name,new_issn_l,new_issns
https://openalex.org/S7407059516,Circular Técnica IPEF,0100-3453,2764-376X
https://openalex.org/S7407053647,HETI Journal International Research and Practice,2816-0800,1174-6238|2811-6135
https://openalex.org/S7407059501,Il castello di Elsinore,0394-9389,2036-5624
https://openalex.org/S7407059549,Insight Indonesian Journal of Social Humanity and Education,3090-5974,3108-9917
https://openalex.org/S7407059584,Buddhism Law & Society,2475-9260,2475-9279
https://openalex.org/S4210202300,Healthcare Quarterly,1480-221X,1710-2774|1929-6347
https://openalex.org/S7407059611,Journal of Excellence in Nursing and Health Sciences,3138-6024,3138-6032
https://openalex.org/S7407059533,Sociedades y Desigualdades,2448-5217,3061-7790
https://openalex.org/S7407059503,Baskent University Journal of Education,2148-3272,2148-3485
https://openalex.org/S7407059653,UNEC Dizaynda Aktual Problemlər Jurnalı,3107-2097,3107-2100
https://openalex.org/S7407059517,Arquivos de Asma Alergia e Imunologia,2526-5393,2764-6335
